Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"52 Amaranthus Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128334106,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$590,000",4,2,2,536,m²,House,Sold on 27 Aug 2018
"25 Tarset Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128900830,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$439,000",3,1,2,405,m²,House,Sold on 27 Aug 2018
"32/39 Gumtree Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128180906,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$348,500",3,2,2,134,m²,Townhouse,Sold on 27 Aug 2018
"26/93 Penarth Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128842602,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Sam Deng,https://i2.au.reastatic.net/150x200/c877976e8e8ab8e32d42587252d0624c635d7c7bff1ea6e2bdc9dfb51f45ea7b/main.jpg,Sold,"$370,000",3,2,1,,,Townhouse,Sold on 24 Aug 2018
"20 Calliope Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128868350,https://i2.au.reastatic.net/340x64/3748f7a4248df23bc76f93ead6bd312d70c05cffe41a454ed74e8a98812c82be/logo.jpg,PHILIP RESNIKOFF,https://i2.au.reastatic.net/150x200/5f75c1ad248faab8d01c9ca1d9eb939cb6e930b7791d59cdfcb38855c60d51b9/main.jpg,Sold,"$647,000",4,3,3,644,m²,House,Sold on 23 Aug 2018
"29/9 Premworth Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128827454,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,,,Sold,"$365,000",3,2,1,,,Townhouse,Sold on 15 Aug 2018
"81 Nemies Road, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128524454,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,,,Sold,"$569,000",4,2,2,587,m²,House,Sold on 10 Aug 2018
"11 Galant Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128122770,https://i2.au.reastatic.net/340x64/4e258024aaeed7ee42a9bc01bde3f86394df7114162ff0d1305101e0deb6d9f4/logo.gif,Trent Thomas,https://i2.au.reastatic.net/150x200/967ec2af48cee202a13ed9c9a92a34b4440964a2586bf6ddd7a4ed39c5617a3d/main.jpg,Sold,"$580,000",3,2,3,547,m²,House,Sold on 07 Aug 2018
"54/40 Lakefield Pl, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128106834,https://i2.au.reastatic.net/340x64/2d9dcee3ce855ea937f154b73475823025fe11d84ebdd6880420e803e8ebcada/logo.gif,Louis Soh,https://i2.au.reastatic.net/150x200/44389983af99ce723e6717ac1cf17541ba3fbea44ae45664ae0c1a86df43067d/main.jpg,Sold,"$418,000",3,2,2,,,Townhouse,Sold on 03 Aug 2018
"5/9 Hillview Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-127948378,https://i2.au.reastatic.net/340x64/530f4c9b8f30b72e42e960cdf8d1a22a8d19ac590650f2afffd2c7fe69f71616/logo.gif,Tom Zhang,https://i2.au.reastatic.net/150x200/efdce063c147e81d72f1a7115179be4faeca57fbe6ae0b810f1008582181b18b/main.jpg,Sold,"$380,000",3,2,4,,,Townhouse,Sold on 31 Jul 2018
"46/20 Young Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128153202,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,David Ross,https://i2.au.reastatic.net/150x200/f6c4e8b009af0bf3e8a8d9bbf72024ab644d4bee361288fa3f712cb847eca0d9/main.jpg,Sold,"$343,000",3,2,1,,,Townhouse,Sold on 30 Jul 2018
"8/20 Young Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128236458,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$325,000",3,2,1,,,Townhouse,Sold on 30 Jul 2018
"3 Waldorf Place, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128734818,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,,,Sold,"$575,000",4,2,2,764,m²,House,Sold on 24 Jul 2018
"5 Esperance Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128380046,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,David Ross,https://i2.au.reastatic.net/150x200/f6c4e8b009af0bf3e8a8d9bbf72024ab644d4bee361288fa3f712cb847eca0d9/main.jpg,Sold,"$430,000",3,1,1,405,m²,House,Sold on 24 Jul 2018
"37 Picot Crescent, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128288482,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,,,Sold,"$466,000",4,1,1,312,m²,House,Sold on 23 Jul 2018
"3 Charles Place, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128649002,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Benny Liu,https://i2.au.reastatic.net/150x200/2df9bcf70011590cf91e162fc96320d5310577d3017639a5b24131a49111f671/main.jpg,Sold,"$935,000",5,3,2,600,m²,House,Sold on 21 Jul 2018
"26/16 Lakefield Place, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128659526,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$317,000",3,2,1,,,Townhouse,Sold on 20 Jul 2018
