Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Bedrooms,Bathrooms,Car_park,Size_unit,Type,Sold_date,Suburb,Price,Size,Sold_year
"16/11 Pyranees Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131832494,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,3.0,2.0,1.0,m²,Townhouse,2019-10-11, Calamvale,310000.0,191.0,2019
"12 Orania Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131931362,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,David Hills,https://i2.au.reastatic.net/150x200/65e2ba9d626ee03c8e99a3fcfeefcae6ebfec7baf83332736cf57a5f11bdc3c8/main.jpg,Sold,3.0,2.0,2.0,m²,House,2019-10-05, Calamvale,565000.0,733.0,2019
"43/88 Candytuft Place, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131651030,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,4.0,2.0,2.0,m²,Townhouse,2019-10-01, Calamvale,408000.0,0.0,2019
"154/85 Nottingham Road, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131377290,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,3.0,2.0,2.0,m²,Townhouse,2019-09-26, Calamvale,345000.0,0.0,2019
"9 Preston Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131644450,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,John Heng,https://i2.au.reastatic.net/150x200/b844c2a385816ce76e1e55a9f2e4e6050e84e96603b3324546edcaa0e4c5450b/main.jpg,Sold,5.0,2.0,2.0,m²,House,2019-09-23, Calamvale,724000.0,480.0,2019
"12 Housman Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131747730,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-17, Calamvale,549888.0,645.0,2019
"74 Palatine Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131348458,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-17, Calamvale,535000.0,659.0,2019
"6 Monford Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131513778,https://i2.au.reastatic.net/340x64/3bfd13bf06c0b6cd5d2df00fc8cca20facbf979baccf2626c8bc7eacdebd1385/logo.gif,Jennifer Qian,https://i2.au.reastatic.net/150x200/3bfa6f362c8a89e3f7e3e7ab275b6b44ce5f9e18fed363bb369c95831a02585b/main.jpg,Sold,5.0,3.0,2.0,m²,House,2019-09-15, Calamvale,680000.0,0.0,2019
"16 Monsour Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131766874,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,3.0,2.0,2.0,m²,House,2019-09-12, Calamvale,690000.0,607.0,2019
"2 Hailey Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131694330,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-11, Calamvale,828000.0,758.0,2019
"23 Lewis Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131330386,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Tom Zhang,https://i2.au.reastatic.net/150x200/2f5dab9b69cc7b88ef6768fad04d5a0ef3b342aa42cc05470e71b876e75728e3/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-11, Calamvale,535000.0,450.0,2019
"32 Sheldon Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131408942,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,unknown,unknown,Sold,4.0,2.0,2.0,m²,House,2019-09-05, Calamvale,740000.0,876.0,2019
"3 Dowling Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131397702,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jonathan Wang,https://i2.au.reastatic.net/150x200/b9798c397d4249c4d43a81aca0740057f14eedb9d9bbb499a68efa0f4704320b/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-05, Calamvale,553000.0,466.0,2019
"13/35 Jaffa Crescent, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131460682,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,3.0,2.0,1.0,m²,Townhouse,2019-09-05, Calamvale,413000.0,0.0,2019
"9 Galliano Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131537270,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,4.0,3.0,2.0,m²,House,2019-09-02, Calamvale,790000.0,681.0,2019
"39 Aster Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131494890,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,JJ Macalino,https://i2.au.reastatic.net/150x200/ff4dfb2ff3dfb7b697b95528d13488de1e9bb4b7c3161609189e80a8926383a1/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-09-02, Calamvale,630000.0,668.0,2019
"51 Reardon Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131653354,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,3.0,2.0,2.0,m²,House,2019-08-30, Calamvale,514000.0,455.0,2019
"20/22 Highgrove Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-130657858,https://i2.au.reastatic.net/340x64/db3708507988a900fdaccf2eef0c65054dc2219c44b29a75f8f0eeff5a350d82/logo.jpg,Mitch Schenning,https://i2.au.reastatic.net/150x200/dbf72e06c2405ce4412825c59dfac74dc5b10bb8b7229e9755e2c27bbc985502/main.jpg,Sold,3.0,2.0,1.0,m²,Townhouse,2019-08-30, Calamvale,332500.0,0.0,2019
"16/1 Jaffa Crescent, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131291230,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,4.0,2.0,1.0,m²,Townhouse,2019-08-23, Calamvale,370000.0,146.0,2019
"83 Alfred Circuit, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131349298,https://i2.au.reastatic.net/340x64/6628d2d0727356f82e4cae28e4943ab1b2f317827cea96a2312fd3975af9f64c/logo.jpg,Jarrod Perry,https://i2.au.reastatic.net/150x200/938af9e3f2facb7dfc644848eed3be3c676a7404181b69e1de0f0b143de533cb/main.jpg,Sold,5.0,2.0,3.0,m²,House,2019-08-15, Calamvale,841000.0,716.0,2019
"7 Pennant Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131312110,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,5.0,3.0,3.0,m²,House,2019-08-12, Calamvale,835000.0,800.0,2019
