Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"10 Bluebell Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126232710,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$650,000",4,2,2,867,m²,House,Sold on 25 Oct 2017
"91 Azalea Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126542706,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Erin Greenhalgh,https://i2.au.reastatic.net/150x200/d971484045ff0da760df417a99cfebac8fb21c79d5124733ddfe71cf2de53978/main.jpg,Sold,"$707,000",4,2,2,851,m²,House,Sold on 24 Oct 2017
"25 Solandra Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126258590,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,"$590,000",4,2,2,536,m²,House,Sold on 18 Oct 2017
"17 Maidenhair Pl, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126577206,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Martin Ma,https://i2.au.reastatic.net/150x200/5de845c8c3f1f16d54e4c8f0079deb64b90a1cf8cf053f3e777e965972949af1/main.jpg,Sold,"$900,000",5,3,3,867,m²,House,Sold on 16 Oct 2017
"11 Barossa Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126283354,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jonathan Wang,https://i2.au.reastatic.net/150x200/b9798c397d4249c4d43a81aca0740057f14eedb9d9bbb499a68efa0f4704320b/main.jpg,Sold,"$770,000",4,2,2,700,m²,House,Sold on 16 Oct 2017
"2 Neiwand Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126118522,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$538,000",3,2,2,455,m²,House,Sold on 16 Oct 2017
"31 Sunflower Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126445638,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$588,888",3,2,2,553,m²,House,Sold on 12 Oct 2017
"43/96 Formby Street, Calamvale",https://www.realestate.com.au/sold/property-villa-qld-calamvale-126217090,,,,Sold,"$350,000",3,2,1,281,m²,Villa,Sold on 12 Oct 2017
"23 Bentleigh Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-125836198,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$740,000",4,2,2,352,m²,House,Sold on 11 Oct 2017
"25 Aster Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126177498,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jonathan Wang,https://i2.au.reastatic.net/150x200/b9798c397d4249c4d43a81aca0740057f14eedb9d9bbb499a68efa0f4704320b/main.jpg,Sold,"$770,000",4,2,2,821,m²,House,Sold on 03 Oct 2017
