Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"4A Andree Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127182390,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Andrew Boman,https://i2.au.reastatic.net/150x200/e45fc8b544c1bf8bc4b0719b2009ed81cce324698c2869d1894b3af6f639f3cd/main.jpg,Sold,"$550,000",4,2,2,518,m²,House,Sold on 20 Jan 2018
"50 Boyanda Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127247094,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$720,000",4,2,2,660,m²,House,Sold on 18 Jan 2018
"34 Kinkuna Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127078326,https://i2.au.reastatic.net/340x64/3fbb0a1151f78609d030b6d209df92eb1f048c70a965d23618004befe58575a8/logo.jpg,Brad Sissons,https://i2.au.reastatic.net/150x200/34b770ac2cad166439b13557cf4d23c4790d6e3c356946b2e4216e3ddb2a25a1/main.jpg,Sold,"$670,000",3,2,2,551,m²,House,Sold on 16 Jan 2018
"3 Alberon Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126891250,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$630,000",4,1,1,,,House,Sold on 15 Jan 2018
"9 Effra St, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126954550,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$607,000",3,1,2,,,House,Sold on 15 Jan 2018
"23 Denton Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126628126,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$755,000",4,2,3,625,m²,House,Sold on 08 Jan 2018
"37/19 Likala Street, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127083826,https://i2.au.reastatic.net/340x64/6d60aaa5dd85c1d445c5f5f78eceefc9f2f46e04324698e74140fcfc33ea727a/logo.jpg,Jonah Burrell,https://i2.au.reastatic.net/150x200/0b4248e50562e2d9b46b0362a386046348d4b8e5a3ee65f8b2b97fe8f4c82b9d/main.jpg,Sold,"$360,000",2,2,1,,m²,Townhouse,Sold on 02 Jan 2018
"2 Casson Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126979038,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$900,000",4,2,3,759,m²,House,Sold on 29 Dec 2017
"4 Kensington Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126765034,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$1,010,000",5,3,2,953,m²,House,Sold on 20 Dec 2017
"5 Glasford Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126699754,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$688,000",3,2,2,567,m²,House,Sold on 20 Dec 2017
"30 Barcelona Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127069618,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Julie Weir,https://i2.au.reastatic.net/150x200/2446d5672d0b8b0f99509ea2e0722484b5c498cf4b6350f08ac76dd602a444da/main.jpg,Sold,"$701,000",4,1,1,625,m²,House,Sold on 19 Dec 2017
"67 Craig Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126827074,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$1,175,000",4,2,2,620,m²,House,Sold on 18 Dec 2017
"37 Koola Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126880370,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$724,336",3,2,2,,,House,Sold on 13 Dec 2017
